Comment,Designator,Footprint,LCSC Part #
100n,"CMR1,CMR2,CMR3,CMR4,CMR5,CR10A,CR11A,CR12A,CR13A,CR14A,CR15A,CR16A,CR17A,CR18A,CR19A,CR1A,CR20A,CR21A,CR22A,CR23A,CR25A,CR27A,CR28A,CR29A,CR2A,CR31A,CR33A,CR35A,CR36A,CR4A,CR6A,CR7A,CR8A,CR9A,CRGBR1,CRGBR2,CRGBR3,CRGBR6,CRGBR7,CRGBR8,CRGBR9,CRGBR10,CRGBR11,CRGBR12,CRGBR13,CRGBR14,CRGBR15,CRGBR16,CRGBR17,CRGBR18,CRGBR19,CRGBR20,CRGBR21,CRGBR23,CRGBR24,CRGBR25,CRGBR26,CRGBR27,CRGBR28,CRGBR29,CRGBR31,CRGBR32,CRGBR33",C1_C_0402_1005Metric,C1525
4.7n,"CR10B,CR11B,CR12B,CR13B,CR14B,CR15B,CR16B,CR17B,CR18B,CR19B,CR1B,CR20B,CR21B,CR22B,CR23B,CR25B,CR27B,CR28B,CR29B,CR2B,CR31B,CR33B,CR35B,CR36B,CR4B,CR6B,CR7B,CR8B,CR9B",C1_C_0402_1005Metric,C1518204
FFC_12P,JR1,FFC_12P_1.00mm_TopContact,C20111
MT9102ET,"HER1,HER2,HER6,HER7,HER8,HER9,HER10,HER12,HER13,HER14,HER15,HER16,HER17,HER19,HER20,HER21,HER22,HER23,HER27,HER28,HER29",HE_KEY_1.00u,C5447698
MT9102ET,"HER11,HER31,HER33,HER35",HE_KEY_1.50u,C5447698
MT9102ET,HER18,HE_KEY_1.75u,C5447698
MT9102ET,HER4,HE_KEY_2.00u,C5447698
MT9102ET,"HER25,HER36",HE_KEY_2.25u,C5447698
SK6812MINI-E,"DR1,DR2,DR3,DR6,DR7,DR8,DR9,DR10,DR11,DR12,DR13,DR14,DR15,DR16,DR17,DR18,DR19,DR20,DR21,DR23,DR24,DR25,DR26,DR27,DR28,DR29,DR31,DR32,DR33",SK6812MINI-E_ReverseMount,C5149201
SN74LV4051A,"AMR1,AMR2,AMR3,AMR4,AMR5",AM1_SOIC-16_3.9x9.9mm_P1.27mm,C128414
