Comment,Designator,Footprint,LCSC Part #
100n,"L-CL10A,L-CL11A,L-CL12A,L-CL13A,L-CL14A,L-CL15A,L-CL16A,L-CL17A,L-CL18A,L-CL19A,L-CL1A,L-CL20A,L-CL21A,L-CL22A,L-CL23A,L-CL24A,L-CL25A,L-CL26A,L-CL27A,L-CL29A,L-CL2A,L-CL31A,L-CL32A,L-CL33A,L-CL3A,L-CL4A,L-CL5A,L-CL6A,L-CL7A,L-CL8A,L-CL9A,L-CML1,L-CML2,L-CML3,L-CML4,R-CMR1,R-CMR2,R-CMR3,R-CMR4,R-CR10A,R-CR11A,R-CR12A,R-CR13A,R-CR14A,R-CR15A,R-CR16A,R-CR17A,R-CR18A,R-CR19A,R-CR1A,R-CR20A,R-CR21A,R-CR22A,R-CR23A,R-CR24A,R-CR26A,R-CR27A,R-CR28A,R-CR29A,R-CR2A,R-CR30A,R-CR32A,R-CR34A,R-CR35A,R-CR36A,R-CR3A,R-CR5A,R-CR6A,R-CR7A,R-CR8A,R-CR9A",C1_C_0402_1005Metric,C1525
4.7n,"L-CL10B,L-CL11B,L-CL12B,L-CL13B,L-CL14B,L-CL15B,L-CL16B,L-CL17B,L-CL18B,L-CL19B,L-CL1B,L-CL20B,L-CL21B,L-CL22B,L-CL23B,L-CL24B,L-CL25B,L-CL26B,L-CL27B,L-CL29B,L-CL2B,L-CL31B,L-CL32B,L-CL33B,L-CL3B,L-CL4B,L-CL5B,L-CL6B,L-CL7B,L-CL8B,L-CL9B,R-CR10B,R-CR11B,R-CR12B,R-CR13B,R-CR14B,R-CR15B,R-CR16B,R-CR17B,R-CR18B,R-CR19B,R-CR1B,R-CR20B,R-CR21B,R-CR22B,R-CR23B,R-CR24B,R-CR26B,R-CR27B,R-CR28B,R-CR29B,R-CR2B,R-CR30B,R-CR32B,R-CR34B,R-CR35B,R-CR36B,R-CR3B,R-CR5B,R-CR6B,R-CR7B,R-CR8B,R-CR9B",C1_C_0402_1005Metric,C1518204
FFC_12P,"L-JL1,R-JR1",FFC_12P_1.00mm_TopContact,C20111
MT9102ET,"L-HEL1,L-HEL2,L-HEL3,L-HEL4,L-HEL5,L-HEL6,L-HEL7,L-HEL9,L-HEL10,L-HEL11,L-HEL12,L-HEL13,L-HEL14,L-HEL16,L-HEL17,L-HEL18,L-HEL19,L-HEL20,L-HEL22,L-HEL23,L-HEL24,L-HEL25,L-HEL26,L-HEL29,L-HEL31,R-HER1,R-HER2,R-HER3,R-HER5,R-HER6,R-HER7,R-HER8,R-HER9,R-HER10,R-HER12,R-HER13,R-HER14,R-HER15,R-HER16,R-HER17,R-HER19,R-HER20,R-HER21,R-HER22,R-HER23,R-HER24,R-HER27,R-HER28,R-HER29,R-HER32,R-HER34",HE_KEY_1.00u,C5447698
MT9102ET,R-HER26,HE_KEY_1.25u,C5447698
MT9102ET,"L-HEL8,L-HEL32,R-HER11,R-HER35",HE_KEY_1.50u,C5447698
MT9102ET,R-HER18,HE_KEY_1.75u,C5447698
MT9102ET,"L-HEL21,L-HEL33,R-HER36",HE_KEY_2.25u,C5447698
MT9102ET,"L-HEL15,L-HEL27,R-HER30",HE_SHARED_MIDPOINT,C5447698
SN74LV4051A,"L-AML1,L-AML2,L-AML3,L-AML4,R-AMR1,R-AMR2,R-AMR3,R-AMR4",AM1_SOIC-16_3.9x9.9mm_P1.27mm,C128414
